tm,TEMP_AVG,HUMID,WT_AVG,DO,RN_SUM_7,TG_MIN,MOS_PARK
2020-05-07,20.7,32.5,21.77054093567252,6.286111111111111,0.0,11.6,21.6
2020-05-08,19.9,32.8,21.75555555555556,6.190277777777777,2.3,11.7,59.4
2020-05-09,14.2,94.4,19.34722222222222,4.2125,26.7,11.9,63.6
2020-05-10,14.4,88.6,18.54861111111111,4.976388888888889,28.0,12.2,61.0
2020-05-11,16.5,61.0,19.93017676767677,5.525252525252525,31.4,9.8,45.3
2020-05-12,14.3,69.4,19.486764705882354,5.263316993464052,32.1,5.8,45.8
2020-05-13,16.1,47.3,19.881944444444443,5.497222222222223,32.1,3.9,51.1
2020-05-14,19.3,35.4,19.65333333333333,4.929401709401709,32.1,7.4,21.6
2020-05-15,16.1,81.4,19.133333333333333,3.891666666666667,41.8,13.6,50.1
2020-05-16,16.7,90.3,19.38888888888889,4.948611111111111,19.9,12.8,59.1
2020-05-17,19.1,80.1,21.20694444444445,5.379166666666666,18.6,14.1,50.1
2020-05-18,19.1,79.4,21.82638888888889,4.0375000000000005,45.0,12.2,51.6
2020-05-19,13.0,73.6,19.588686868686867,4.672348484848485,63.3,6.9,58.5
2020-05-20,14.4,60.4,19.927314814814817,5.696296296296296,63.3,5.5,58.5
2020-05-21,17.4,56.1,20.29583333333333,6.190277777777777,63.3,6.8,42.6
2020-05-22,18.5,68.5,21.49361111111111,6.177222222222222,51.3,9.5,45.8
2020-05-23,20.1,66.1,22.212499999999995,5.702777777777778,48.8,12.6,53.6
2020-05-24,17.1,84.8,21.05555555555556,3.890277777777778,63.3,11.6,56.7
2020-05-25,16.6,81.0,20.851388888888888,5.036111111111111,33.5,10.1,61.6
2020-05-26,16.2,81.9,21.34722222222221,5.122222222222223,16.0,9.3,52.7
2020-05-27,17.4,68.5,22.02916666666667,5.608333333333334,16.0,8.1,51.4
2020-05-28,18.7,62.8,22.27361111111111,5.881944444444444,16.0,8.7,50.3
2020-05-29,20.7,65.6,23.27916666666667,6.061111111111111,16.0,9.8,53.7
2020-05-30,22.6,57.3,24.489743589743583,5.963034188034189,16.0,12.4,58.7
2020-05-31,21.2,63.0,23.934027777777786,5.592708333333333,2.5,13.8,63.7
2020-06-01,19.7,64.3,24.032070707070705,5.693939393939394,2.9,13.0,70.4
2020-06-02,17.9,71.0,21.583845029239768,5.266301169590643,3.4,9.9,65.3
2020-06-03,22.0,73.3,23.66919191919192,5.6186868686868685,3.4,14.6,60.4
2020-06-04,21.9,81.1,24.93024691358025,5.588888888888889,3.6,17.9,55.0
2020-06-05,23.0,69.4,25.543055555555554,5.456944444444445,3.6,15.0,68.9
2020-06-06,24.6,63.6,25.884722222222223,5.461111111111111,3.6,14.9,67.9
2020-06-07,22.7,69.4,26.105555555555554,5.559722222222223,2.6,16.3,71.7
2020-06-08,25.0,63.6,26.80050505050505,5.635732323232323,2.2,17.2,80.3
2020-06-09,26.7,51.6,27.143650793650792,5.470436507936508,0.2,15.8,71.9
2020-06-10,25.8,63.8,26.77083333333333,5.166666666666666,6.4,17.4,79.5
2020-06-11,26.1,68.3,27.38457142857143,4.655809523809524,6.2,19.3,86.9
2020-06-12,24.7,68.6,25.967521367521368,5.47863247863248,6.2,16.8,82.9
2020-06-13,26.9,52.8,26.20555555555556,5.881944444444444,6.2,16.2,84.2
2020-06-14,24.0,70.6,26.663888888888888,5.884722222222222,7.300000000000001,16.9,79.5
2020-06-15,23.0,62.3,25.826551226551228,5.537391774891774,7.300000000000001,13.6,87.8
2020-06-16,24.4,63.0,26.432936507936507,6.360515873015873,7.300000000000001,17.4,75.6
2020-06-17,24.3,58.6,26.15299145299145,5.623076923076923,1.1,14.9,71.7
2020-06-18,23.4,61.4,25.07777777777778,5.420833333333334,1.1,17.1,77.1
2020-06-19,24.7,61.4,25.647777777777776,5.846944444444444,1.2000000000000002,18.7,76.7
2020-06-20,24.9,62.6,26.7875,5.954166666666667,1.2000000000000002,15.4,73.2
2020-06-21,26.1,59.5,27.32777777777778,5.868055555555556,0.1,15.6,78.4
2020-06-22,28.6,50.5,28.218888888888888,5.551111111111112,0.1,16.1,79.2
2020-06-23,27.3,53.5,27.506944444444446,4.911111111111111,0.1,19.1,84.4
2020-06-24,22.3,83.5,24.981944444444448,3.111111111111111,37.7,18.9,95.9
2020-06-25,21.6,91.0,23.717424242424244,3.956818181818182,51.0,19.3,89.7
2020-06-26,21.8,82.1,24.148611111111112,5.023611111111111,53.0,18.5,69.1
2020-06-27,24.1,70.4,25.883333333333336,5.543055555555555,53.0,18.8,66.6
2020-06-28,25.2,70.5,27.086111111111112,5.718055555555555,53.0,18.4,67.3
2020-06-29,23.8,77.0,25.681944444444444,5.320833333333334,64.9,16.9,75.9
2020-06-30,20.1,83.0,21.77361111111111,4.845833333333334,129.60000000000002,16.2,80.4
2020-07-01,21.1,79.3,22.16366161616162,5.864242424242424,92.00000000000001,15.8,75.2
2020-07-02,24.2,74.5,24.48333333333333,5.906944444444444,78.7,16.5,61.6
2020-07-03,25.5,63.5,26.655555555555555,6.004166666666666,76.7,18.4,64.9
2020-07-04,24.2,63.9,27.61428571428572,6.495238095238094,78.30000000000001,18.4,76.3
2020-07-05,23.8,68.6,26.33194444444445,5.990277777777778,78.30000000000001,15.5,21.7
2020-07-06,25.6,66.6,26.690873015873013,6.136309523809524,66.4,18.1,76.3
