tm,mosquito_value_house,mosquito_value_park,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50,날짜,수온,pH,용존산소(㎎/L),총질소(㎎/L),총인(㎎/L),총유기탄소
20200919,46.2,66.5,108,2.2,1919,27,5.3,1637,29,9.6,1640,21.2,26.2,1436,17.6,2400,11.9,21.8,9.6,59.3,27.0,1441,14.3,6.8,4.7,-9.0,1004.9,1014.8,1016.2,2304,1013.2,1641,1.5,9.7,12.3,-9.0,21.25,3.1,1200,0.3,-9.0,1.0,0.2,-9,0.2,-9,-9.0,-9,-9.0,-9,-9.0,-9,22.9,24.0,24.1,21.8,17.9,2020-09-19,22.2,7.033333333333334,5.300000000000001,5.765,0.17,4.5
20200921,45.3,65.3,108,1.7,1433,16,2.9,1239,16,5.3,1238,19.1,25.3,1449,13.6,609,9.6,20.6,7.3,56.1,33.0,1612,12.0,5.8,4.1,-9.0,1008.1,1018.1,1019.9,1022,1016.4,1646,4.5,9.6,12.2,-9.0,19.54,2.97,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,22.4,23.8,23.9,21.8,18.0,2020-09-21,22.469673202614377,7.159477124183006,7.656078431372549,5.851058823529413,0.1763888888888889,4.260416666666667
20200922,41.9,60.4,108,2.8,2400,5,4.6,2138,11,9.2,2102,20.2,25.6,1454,15.5,618,10.5,21.8,10.5,55.3,35.0,1354,12.7,7.1,4.9,-9.0,1008.7,1018.6,1020.4,925,1016.5,1646,3.1,10.7,12.2,-9.0,21.71,3.05,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,22.1,23.7,23.9,21.8,18.0,2020-09-22,22.20555555555556,7.165873015873015,7.570833333333333,5.82723544973545,0.1321785714285714,4.341666666666667
20200923,42.0,60.5,108,3.3,2879,5,5.3,1344,5,9.5,1707,19.2,23.8,1359,15.2,521,11.1,20.8,10.7,59.9,50.0,1605,13.3,5.8,4.0,-9.0,1008.2,1018.2,1019.4,46,1016.8,1415,7.6,7.2,12.1,-9.0,16.99,2.67,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,22.1,23.5,23.8,21.8,18.0,2020-09-23,21.79444444444444,7.223611111111111,7.8,5.823819444444445,0.1184722222222222,4.23635265700483
20200924,44.3,63.8,108,3.7,3175,5,5.7,1236,2,10.8,1223,20.6,25.4,1340,16.8,606,12.4,22.0,15.1,59.6,49.0,1325,14.4,5.9,4.2,-9.0,1005.3,1015.2,1017.8,1,1013.1,1600,6.6,8.0,12.1,-9.0,18.54,2.88,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,22.5,23.4,23.7,21.7,18.1,2020-09-24,22.10138888888889,7.180555555555556,7.479166666666667,6.110416666666667,0.13125,4.304166666666667
20200925,40.8,58.8,108,2.5,2120,5,4.9,1518,5,8.4,1553,20.1,25.4,1433,16.6,426,12.9,21.5,12.6,64.1,49.0,1441,14.9,4.5,3.2,-9.0,1003.7,1013.6,1015.7,2304,1011.8,1506,4.9,3.5,12.1,-9.0,13.39,2.39,900,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,22.6,23.3,23.6,21.7,18.1,2020-09-25,21.71372549019608,7.170588235294118,7.233333333333333,6.0493137254901965,0.1174509803921568,4.231429738562092
20201006,35.7,51.4,108,2.0,1746,29,4.1,1114,25,7.8,1124,14.2,19.7,1529,9.3,627,4.9,14.6,4.0,55.9,34.0,1420,8.7,5.4,3.8,-9.0,1012.2,1022.5,1024.9,2322,1020.5,1,2.5,10.8,11.6,-9.0,19.81,2.88,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,20.1,22.2,22.7,21.5,18.3,2020-10-06,20.88,7.223333333333334,8.040833333333333,6.171125,0.0900833333333333,4.38
20201007,30.0,43.3,108,1.9,1673,5,3.4,1359,16,7.1,1350,16.0,22.0,1558,9.9,705,4.6,14.9,5.8,48.9,24.0,1603,8.5,5.3,3.7,-9.0,1015.8,1026.0,1027.7,941,1023.9,1550,3.8,8.9,11.6,-9.0,16.99,2.64,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.7,21.9,22.6,21.5,18.3,2020-10-07,19.557383040935672,7.183406432748538,7.508479532163743,6.208587962962963,0.0872222222222222,4.4944444444444445
20201008,15.0,21.6,108,3.1,2648,5,5.4,1729,5,9.7,1723,17.2,23.1,1511,12.1,621,7.0,15.9,8.5,53.0,35.0,1632,10.1,6.6,4.6,-9.0,1016.7,1026.9,1029.0,845,1024.6,1625,0.1,10.8,11.5,-9.0,19.27,2.82,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.5,21.6,22.5,21.5,18.3,2020-10-08,19.87474747474748,7.204166666666667,7.570959595959596,6.226041666666667,0.0897916666666666,4.46231884057971
20201009,15.0,21.6,108,3.0,2561,5,5.2,1518,11,9.5,1240,17.2,23.3,1508,12.4,527,7.5,16.6,6.8,53.4,42.0,1510,10.4,5.8,4.0,-9.0,1013.2,1023.4,1026.9,1,1020.5,1739,4.6,10.6,11.5,-9.0,18.55,2.78,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.5,21.4,22.4,21.4,18.4,2020-10-09,20.24305555555556,7.209722222222222,7.816666666666666,6.367569444444444,0.0825694444444444,4.068055555555556
20201010,15.0,21.6,108,2.0,1749,2,3.8,1116,11,6.8,920,16.9,21.5,1344,12.3,543,8.8,16.6,6.6,60.1,41.0,1329,11.3,4.2,2.9,-9.0,1009.7,1019.8,1022.3,3,1017.0,1831,5.3,7.6,11.4,-9.0,15.28,2.52,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.5,21.3,22.2,21.4,18.4,2020-10-10,20.063888888888886,7.233333333333334,7.774999999999999,6.466319444444444,0.0758333333333333,4.052777777777778
20201011,15.0,21.6,108,1.8,1594,5,4.1,244,5,6.6,238,16.9,20.8,1155,12.7,634,10.9,16.1,9.7,68.5,52.0,1156,13.0,2.8,2.0,-9.0,1006.1,1016.2,1018.5,749,1013.8,1612,5.8,4.9,11.4,-9.0,11.45,2.45,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.5,21.1,22.1,21.4,18.4,2020-10-11,20.069444444444443,7.215277777777778,7.498611111111111,6.712847222222223,0.0763194444444444,4.243055555555555
20201012,15.0,21.6,108,2.2,1912,25,4.6,1544,20,7.5,1523,16.2,21.3,1411,12.1,2356,10.0,16.8,8.0,68.6,48.0,2045,12.5,3.9,2.7,-9.0,1005.2,1015.3,1018.0,2349,1013.5,1402,2.6,7.5,11.4,-9.0,13.59,2.06,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.4,21.0,22.0,21.4,18.4,2020-10-12,20.122777777777777,7.191666666666666,7.251388888888889,6.785513888888889,0.0773333333333333,4.265
20201013,15.0,21.6,108,2.2,1911,27,4.7,1319,32,8.0,1315,13.6,18.4,1459,8.6,627,3.5,14.2,1.4,52.3,30.0,1608,7.9,4.0,2.8,-9.0,1010.7,1021.0,1023.1,2154,1018.0,1,3.5,7.1,11.3,-9.0,14.16,2.33,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,19.3,20.9,21.8,21.3,18.4,2020-10-13,19.0593253968254,7.230952380952381,7.573611111111112,6.48811507936508,0.076329365079365,4.208333333333333
20201014,15.0,21.6,108,2.4,2052,27,5.8,1500,25,9.4,1413,12.8,18.0,1327,8.5,2400,1.0,14.3,5.1,47.0,20.0,1350,6.9,4.6,3.2,-9.0,1014.6,1025.0,1026.7,2340,1022.8,1,6.6,5.8,11.3,-9.0,12.19,2.19,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,18.8,20.8,21.7,21.3,18.4,2020-10-14,18.555092592592597,7.204166666666667,7.611111111111111,6.190833333333333,0.0721527777777777,4.131944444444444
20201015,15.0,21.6,108,1.5,1284,27,3.7,47,29,5.5,39,11.7,18.5,1433,6.5,644,-1.1,13.1,1.0,41.8,27.0,1531,5.7,4.2,2.9,-9.0,1015.8,1026.2,1028.0,823,1024.1,1525,6.6,7.2,11.3,-9.0,14.48,2.4,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,18.3,20.6,21.6,21.3,18.4,2020-10-15,17.482954545454547,7.282828282828283,7.743308080808081,6.354532828282828,0.0773169191919191,4.185858585858586
20201016,15.0,21.6,108,1.5,1320,5,2.5,754,29,3.9,1328,11.8,15.4,1425,8.6,615,5.1,12.5,3.5,64.3,48.0,17,8.9,1.6,1.2,-9.0,1013.7,1024.1,1026.3,854,1021.9,1741,7.6,0.0,11.2,-9.0,5.28,0.94,1300,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.9,20.4,21.5,21.2,18.5,2020-10-16,17.131944444444443,7.208333333333333,7.086111111111111,6.5765972222222215,0.069375,4.285714285714286
20201017,15.0,21.6,108,1.8,1595,27,4.3,1353,25,7.2,1528,13.1,18.6,1508,8.7,702,5.6,13.1,2.0,64.3,26.0,1553,9.2,4.7,3.3,-9.0,1013.0,1023.4,1024.8,2235,1021.6,1638,1.0,10.1,11.2,-9.0,17.65,2.66,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.5,20.1,21.4,21.2,18.5,2020-10-17,18.005555555555556,7.2375,7.315277777777777,6.689652777777778,0.0671527777777777,4.443961352657005
20201018,15.0,21.6,108,2.0,1746,29,3.9,1529,27,7.1,1507,13.6,20.2,1352,7.2,630,6.9,12.9,1.7,65.5,40.0,1557,10.0,4.0,2.8,-9.0,1013.6,1023.9,1026.0,900,1021.9,1521,0.5,9.7,11.1,-9.0,15.96,2.46,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.4,19.9,21.2,21.2,18.5,2020-10-18,18.034722222222225,7.230555555555555,7.148611111111111,7.007013888888888,0.0693055555555555,4.416666666666667
20201019,15.0,21.6,108,1.7,1457,25,3.4,1655,25,6.0,1522,15.1,21.3,1440,9.8,700,10.1,14.3,2.9,74.4,38.0,1559,12.4,3.8,2.7,-9.0,1014.7,1025.0,1026.6,2332,1023.0,1442,0.0,9.8,11.1,-9.0,15.27,2.37,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.3,19.7,21.1,21.1,18.5,2020-10-19,18.7,7.1819444444444445,6.929166666666667,6.974374999999999,0.0716666666666666,4.526388888888889
20201020,15.0,21.6,108,1.6,1341,25,3.1,1438,29,4.9,1434,15.2,21.7,1413,9.9,647,8.5,14.5,3.7,67.1,38.0,1658,11.2,4.1,2.9,-9.0,1015.4,1025.7,1028.8,903,1022.7,1738,0.4,10.0,11.1,-9.0,15.67,2.44,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.5,19.6,20.9,21.1,18.5,2020-10-20,19.0625,7.1875,6.80138888888889,6.611527777777778,0.0730555555555555,4.518357487922706
20201021,15.6,22.5,108,1.9,1653,16,3.8,1511,18,6.2,1504,14.1,17.3,1529,11.8,301,8.5,13.7,6.6,69.4,58.0,1206,11.1,1.7,1.2,-9.0,1008.6,1018.9,1023.5,11,1015.7,2339,7.3,0.1,11.0,-9.0,4.72,0.78,1100,-9.0,0.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.5,19.5,20.8,21.1,18.5,2020-10-21,18.11136363636364,7.173737373737374,6.663510101010101,6.609065656565657,0.070530303030303,4.194444444444445
20201022,15.0,21.6,108,2.8,2436,32,5.7,2028,34,10.4,2020,13.5,18.2,1451,8.4,2344,6.8,15.2,5.6,66.0,40.0,1520,10.2,3.9,2.7,-9.0,1003.5,1013.7,1015.7,1,1011.4,1528,4.6,5.4,11.0,-9.0,11.01,2.03,1300,0.0,-9.0,1.25,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.3,19.4,20.7,21.0,18.5,2020-10-22,18.084722222222226,7.188888888888887,7.3694444444444445,6.800486111111112,0.0726388888888888,4.288888888888889
20201023,15.0,21.6,108,3.0,2566,29,5.5,1321,27,10.0,1337,8.6,13.3,1515,5.4,713,-1.1,10.7,0.6,51.5,34.0,1549,5.6,4.3,3.0,-9.0,1004.9,1015.3,1017.1,2356,1013.6,1420,0.0,9.9,10.9,-9.0,17.01,2.57,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.2,19.2,20.5,21.0,18.5,2020-10-23,16.32361111111111,7.259722222222223,8.009722222222221,6.956388888888888,0.0634027777777777,4.208552920509443
20201024,15.0,21.6,108,2.5,2150,29,5.9,1212,29,11.0,1242,8.7,14.0,1538,3.2,705,-2.3,9.4,-1.6,47.6,27.0,1328,5.3,4.4,3.1,-9.0,1008.7,1019.1,1020.9,929,1016.8,7,0.0,9.9,10.9,-9.0,16.65,2.54,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.5,19.1,20.4,20.9,18.5,2020-10-24,15.451388888888893,7.284722222222222,8.293055555555556,7.003680555555556,0.0661111111111111,4.291666666666667
20201025,15.0,21.6,108,1.7,1483,25,3.8,1318,25,6.3,1123,11.8,18.2,1345,5.4,708,4.0,10.9,1.6,62.5,29.0,1507,8.3,3.4,2.4,-9.0,1009.9,1020.2,1021.7,902,1018.3,1501,2.8,8.8,10.9,-9.0,13.83,2.21,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.9,18.9,20.3,20.9,18.5,2020-10-25,16.09027777777778,7.26111111111111,8.338888888888889,6.879097222222222,0.0635416666666666,4.476388888888889
20201026,15.0,21.6,108,1.6,1406,32,4.4,1417,29,6.7,1409,12.9,19.0,1354,8.0,618,7.4,11.9,3.2,71.6,42.0,1408,10.3,3.2,2.2,-9.0,1009.8,1020.1,1021.8,849,1018.3,1533,1.6,9.2,10.8,-9.0,13.69,2.16,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.8,18.6,20.2,20.8,18.5,2020-10-26,17.021843434343435,7.252020202020202,8.255176767676767,6.891843434343435,0.064715909090909,4.633662714097497
20201027,15.0,21.6,108,1.8,1573,32,3.4,1516,29,5.7,1411,14.0,19.4,1431,9.0,653,9.0,13.2,6.0,74.1,39.0,1456,11.6,3.1,2.1,-9.0,1010.9,1021.2,1022.4,2238,1020.0,1629,1.1,8.3,10.8,-9.0,12.23,2.04,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.9,18.4,20.0,20.8,18.5,2020-10-27,17.458333333333332,7.236111111111112,8.006944444444445,6.9596527777777775,0.0663194444444444,4.481944444444444
20201028,15.0,21.6,108,2.5,2196,27,4.8,1507,32,9.1,1449,13.8,18.2,1442,8.6,2359,2.8,13.8,2.1,52.1,23.0,1619,8.2,5.1,3.6,-9.0,1012.6,1022.8,1025.1,2236,1021.1,1414,3.8,9.2,10.8,-9.0,15.27,2.54,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.2,18.3,19.9,20.7,18.5,2020-10-28,17.993055555555557,7.230555555555555,7.681944444444444,6.774444444444445,0.0636111111111111,4.415277777777778
20201029,15.0,21.6,108,2.0,1694,32,4.5,104,34,7.2,112,10.8,16.1,1328,5.5,703,-2.6,11.5,-1.5,40.3,24.0,1535,5.1,4.2,2.9,-9.0,1013.7,1024.1,1026.2,825,1022.3,1705,3.1,9.0,10.7,-9.0,13.77,2.39,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.2,18.2,19.7,20.7,18.5,2020-10-29,16.434722222222224,7.202777777777778,7.729166666666667,6.7436607142857135,0.0646527777777777,4.6625000000000005
20201030,15.0,21.6,108,1.5,1284,9,3.2,1101,11,5.6,1053,11.9,19.6,1512,5.8,731,-0.8,11.2,1.6,42.9,22.0,1517,5.8,4.4,3.1,-9.0,1015.2,1025.5,1027.2,2313,1023.7,45,0.4,9.7,10.7,-9.0,14.62,2.31,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.7,18.1,19.6,20.6,18.5,2020-10-30,16.370833333333334,7.216666666666666,7.993055555555554,7.209791666666667,0.060625,4.579960317460317
20201031,15.0,21.6,108,2.6,2235,23,5.0,1414,20,10.2,1408,13.6,18.2,1431,8.5,649,5.9,12.9,5.2,60.3,51.0,2,9.3,3.3,2.3,-9.0,1013.9,1024.3,1027.2,219,1021.5,2236,6.1,5.8,10.7,-9.0,11.03,2.13,1100,-9.0,1.7,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.5,18.0,19.5,20.6,18.5,2020-10-31,16.36111111111111,7.211111111111111,7.797222222222222,7.592152777777778,0.0652777777777777,4.906944444444444
20210501,26.9,23.3,108,2.7,2360,32,6.3,1425,29,10.3,1418,10.2,15.3,1256,8.5,2326,6.8,12.4,7.4,80.8,47.0,1258,9.9,2.6,1.8,-9.0,995.6,1005.8,1010.3,2346,1003.6,556,9.4,1.2,13.8,-9.0,11.89,2.81,1200,8.0,9.4,11.67,5.3,1419,1.5,1424,-9.0,-9,-9.0,-9,-9.0,-9,14.8,14.4,13.7,12.5,13.4,2021-05-01,16.334722222222222,6.9,5.197222222222222,5.330972222222223,0.1554166666666666,4.813888888888889
20210502,22.0,13.3,108,3.1,2720,27,5.3,1740,29,9.3,1720,12.4,18.7,1436,7.3,602,6.0,16.8,5.4,67.9,41.0,1731,9.4,6.4,4.5,-9.0,1006.2,1016.5,1019.9,2345,1010.3,1,2.6,10.8,13.8,-9.0,27.71,3.56,1200,1.7,-9.0,2.5,1.2,24,0.4,110,-9.0,-9,-9.0,-9,-9.0,-9,14.4,14.4,13.7,12.6,13.4,2021-05-02,17.676388888888887,6.941666666666666,5.379166666666666,6.572638888888889,0.1582638888888889,4.905555555555556
20210503,17.5,13.3,108,2.1,1847,20,4.9,1348,27,8.6,1559,14.1,20.3,1520,8.4,555,4.6,17.3,4.0,56.4,27.0,1613,8.5,7.0,4.9,-9.0,1007.6,1017.8,1020.4,814,1015.1,1815,3.8,11.6,13.8,-9.0,27.7,3.55,1200,-9.0,0.2,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,14.8,14.3,13.8,12.6,13.4,2021-05-03,18.89404761904762,6.9319444444444445,5.190873015873016,6.448154761904761,0.1613888888888889,4.822190852625635
20210504,21.1,10.9,108,2.1,1796,29,4.8,2149,29,9.3,2346,13.8,15.8,1915,11.4,300,10.7,13.5,7.8,82.6,53.0,3,13.2,1.4,1.0,1.37,999.3,1009.5,1017.3,9,1003.7,2214,9.6,0.0,13.9,-9.0,3.68,0.87,1200,19.6,19.5,16.25,5.1,1436,1.5,1446,-9.0,-9,-9.0,-9,-9.0,-9,15.3,14.4,13.8,12.7,13.4,2021-05-04,17.70138888888889,6.920833333333333,4.819444444444445,6.932152777777778,0.1966666666666666,6.151388888888889
20210505,25.0,15.2,108,3.5,3003,25,6.7,1544,27,13.1,1417,13.9,18.4,1509,10.3,620,6.4,17.6,4.4,64.4,29.0,1634,9.8,6.7,4.7,-9.0,1002.3,1012.5,1018.4,2346,1004.5,20,2.6,11.5,13.9,-9.0,28.34,3.62,1200,0.1,-9.0,0.5,0.4,-2331,0.1,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.0,14.4,13.9,12.7,13.4,2021-05-05,18.15138888888889,6.868055555555556,4.656944444444444,8.76715277777778,0.5685084541062801,10.34027777777778
20210506,29.0,23.1,108,2.4,2081,23,6.5,1620,23,11.8,1612,15.7,23.1,1420,7.9,538,3.3,16.8,2.9,46.4,27.0,1743,7.8,7.0,4.9,-9.0,1005.1,1015.3,1018.6,612,1011.5,2359,4.8,10.6,13.9,-9.0,23.81,3.32,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.4,14.5,14.0,12.8,13.4,2021-05-06,18.15304232804233,6.925992063492064,5.621626984126984,10.009378306878308,0.6918154761904761,9.263543823326431
20210507,26.5,22.4,108,3.4,2923,23,6.7,1352,20,12.6,1418,14.4,17.2,1505,10.7,2357,6.5,15.5,7.7,60.3,38.0,1,9.8,4.5,3.1,-9.0,996.0,1006.1,1011.5,1,1003.3,904,3.1,5.9,13.9,-9.0,17.12,3.34,1200,8.8,8.8,1.5,8.8,915,5.9,942,-9.0,-9,-9.0,-9,-9.0,-9,15.6,14.6,14.0,12.8,13.4,2021-05-07,17.818749999999998,6.922916666666668,4.877083333333333,6.305104166666666,0.2096875,7.827272727272726
20210508,27.3,15.5,108,3.4,2913,20,8.4,1557,18,15.4,1600,14.3,21.0,1437,8.9,547,7.5,16.9,5.4,66.1,36.0,1509,10.4,6.3,4.4,-9.0,994.4,1004.4,1008.4,18,999.2,1611,1.1,8.9,14.0,-9.0,23.01,3.26,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.5,14.7,14.1,12.9,13.4,2021-05-08,17.770833333333336,6.935416666666666,5.502083333333333,5.317916666666667,0.145,5.1125
20210509,29.5,21.4,108,3.5,3019,27,7.9,1037,27,14.3,1357,15.7,21.8,1551,10.0,513,4.6,18.2,5.2,51.3,25.0,1609,8.5,8.9,6.2,-9.0,999.3,1009.4,1011.8,2318,1006.5,1,0.3,13.0,14.0,-9.0,30.44,3.72,1200,-9.0,0.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.7,14.7,14.2,12.9,13.4,2021-05-09,18.73333333333333,6.983333333333334,6.012499999999999,5.724166666666666,0.1301041666666666,4.28125
20210510,24.9,17.2,108,1.8,1547,20,4.0,513,20,6.7,507,13.2,14.6,1716,11.7,230,7.4,13.5,4.7,67.9,59.0,12,10.3,2.2,1.5,-9.0,1003.2,1013.4,1015.0,845,1010.4,219,8.6,0.0,14.0,-9.0,4.69,0.61,1500,0.0,0.0,3.08,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.0,14.8,14.2,13.0,13.4,2021-05-10,17.62777777777778,6.977777777777778,5.666666666666666,5.964166666666667,0.1318055555555555,4.370955882352941
20210511,28.8,21.2,108,2.7,2362,11,5.0,1704,14,10.5,2150,18.5,25.7,1514,9.4,414,6.2,18.7,4.6,48.9,28.0,1337,9.5,9.5,6.6,-9.0,1003.1,1013.1,1014.9,147,1010.8,1615,6.0,13.2,14.1,-9.0,27.17,3.44,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.3,14.9,14.3,13.0,13.4,2021-05-11,20.591477272727275,7.010227272727272,6.453977272727272,6.209715909090908,0.1375,5.004545454545455
20210512,28.4,23.5,108,2.2,1860,5,3.7,824,5,6.9,819,22.0,27.7,1626,16.9,529,7.1,21.7,11.6,39.5,26.0,1255,10.3,8.5,5.9,-9.0,1001.9,1011.8,1013.8,632,1008.9,1715,4.5,11.0,14.1,-9.0,26.51,3.52,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.1,14.9,14.4,13.1,13.4,2021-05-12,20.8093201754386,6.97828947368421,5.783771929824561,6.34827850877193,0.1505372807017543,5.0625
20210513,33.8,20.9,108,1.9,1642,25,4.2,1807,20,7.2,1556,22.9,29.6,1459,16.6,542,12.7,24.6,11.0,54.4,36.0,1418,14.8,7.6,5.3,-9.0,1001.1,1011.0,1012.6,813,1009.0,1701,0.0,12.8,14.1,-9.0,27.3,3.39,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.1,15.0,14.4,13.1,13.4,2021-05-13,22.40625,6.972916666666666,5.889583333333333,6.253020833333334,0.1467708333333333,6.427777777777778
20210514,43.4,46.4,108,1.7,1497,25,4.3,1811,25,7.4,1806,24.1,30.8,1541,18.0,558,15.4,25.2,12.1,60.3,35.0,1552,17.5,7.4,5.2,-9.0,1000.7,1010.5,1013.2,757,1008.5,1743,7.1,10.8,14.2,-9.0,24.38,3.43,1200,-9.0,0.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,18.1,15.4,14.5,13.1,13.4,2021-05-14,23.567750000000004,6.97475,5.4751666666666665,6.198125,0.1457458333333333,10.652615384615384
20210515,44.3,46.3,108,1.7,1432,11,3.6,1048,11,6.1,1110,22.1,26.2,1204,20.8,1911,18.0,22.9,17.7,79.5,56.0,1148,20.8,2.3,1.6,-9.0,996.4,1006.2,1009.3,241,1003.9,1810,9.8,0.5,14.2,-9.0,9.42,2.29,1100,15.0,33.1,14.0,5.8,1302,2.2,1338,-9.0,-9,-9.0,-9,-9.0,-9,19.0,15.7,14.6,13.2,13.4,2021-05-15,23.360416666666666,6.902083333333334,3.88125,6.877812499999999,0.2326041666666666,7.320833333333333
20210516,47.0,51.4,108,2.5,2164,18,4.4,724,5,8.9,1730,18.4,20.8,1,14.8,2345,17.9,19.6,14.1,97.6,94.0,1331,20.7,1.0,0.7,-9.0,991.1,1001.0,1004.3,1,999.0,1627,10.0,0.0,14.2,-9.0,3.05,0.53,1300,66.9,49.1,24.0,11.3,1853,2.6,1912,-9.0,-9,-9.0,-9,-9.0,-9,19.2,16.2,14.8,13.2,13.4,2021-05-16,21.00625,6.795833333333334,3.277083333333333,7.8246875,0.5736458333333333,9.327083333333333
