tm,mosquito_value_house,mosquito_value_park,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50,날짜,수온,pH,용존산소(㎎/L),총질소(㎎/L),총인(㎎/L),총유기탄소
20200511,31.5,45.3,108,3.0,2622,29,5.6,1456,25,10.1,1424,16.5,22.0,1414,12.4,2358,7.8,20.2,9.8,61.0,27.0,1312,10.8,6.8,4.8,-9.0,997.7,1007.8,1009.9,1,1005.3,1832,8.1,7.2,14.1,-9.0,22.98,3.47,1200,3.4,4.1,3.0,3.8,2323,1.8,2340,-9.0,-9,-9.0,-9,-9.0,-9,16.7,15.6,14.4,13.1,13.4,2020-05-11,19.93017676767677,7.022222222222222,5.525252525252525,6.894509222661395,0.1450441919191919,5.351405357927097
20200512,31.8,45.8,108,2.9,2531,32,5.4,1907,23,12.2,1641,14.3,18.9,1527,10.5,516,8.5,17.6,5.8,69.4,47.0,1826,11.1,3.9,2.7,-9.0,995.1,1005.2,1011.0,2348,1002.7,1529,3.3,5.0,14.1,-9.0,13.6,2.03,1400,0.7,-9.0,0.83,0.7,1,0.5,13,-9.0,-9,-9.0,-9,-9.0,-9,17.0,15.6,14.5,13.1,13.4,2020-05-12,19.486764705882354,7.0663398692810455,5.263316993464052,7.048169934640522,0.1446078431372549,5.3952614379084975
20200513,35.5,51.1,108,2.8,2459,29,6.5,1613,29,12.1,1304,16.1,21.8,1420,10.2,607,3.5,20.5,3.9,47.3,24.0,1520,8.0,9.1,6.4,-9.0,1005.1,1015.3,1017.8,2213,1011.1,1,0.6,13.0,14.1,-9.0,29.7,3.64,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.6,15.7,14.6,13.2,13.4,2020-05-13,19.881944444444443,7.094444444444445,5.497222222222223,7.133194444444444,0.1378472222222222,5.025
20200514,15.0,21.6,108,2.0,1685,34,4.3,1557,29,6.9,1352,19.3,25.4,1346,12.4,402,2.8,21.8,7.4,35.4,20.0,1347,7.5,7.1,5.0,-9.0,1006.0,1016.0,1018.9,705,1012.7,2318,8.3,6.6,14.2,-9.0,20.64,3.09,1300,-9.0,3.2,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.8,15.7,14.7,13.2,13.4,2020-05-14,19.65333333333333,7.083589743589744,4.929401709401709,7.46628205128205,0.1267606837606837,4.711111111111111
20200515,34.7,50.1,108,3.0,2629,18,5.3,432,16,13.2,425,16.1,20.2,426,14.1,1052,12.2,15.9,13.6,81.4,34.0,9,14.5,1.0,0.7,-9.0,998.8,1008.8,1013.6,103,1005.8,1718,10.0,0.0,14.2,-9.0,3.43,0.82,1100,12.0,11.0,20.75,2.1,838,0.6,919,-9.0,-9,-9.0,-9,-9.0,-9,17.2,15.7,14.8,13.3,13.4,2020-05-15,19.133333333333333,7.020833333333333,3.891666666666667,8.458958333333333,0.2714583333333333,6.791666666666667
20200516,41.0,59.1,108,1.6,1364,9,3.3,1,7,4.9,10,16.7,20.3,1644,15.0,1,15.0,18.3,12.8,90.3,74.0,1706,17.0,1.9,1.3,-9.0,996.6,1006.7,1008.2,1100,1005.0,1622,9.5,0.6,14.2,-9.0,7.6,1.35,1600,2.5,0.3,12.67,0.5,556,0.2,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.9,15.8,14.9,13.3,13.4,2020-05-16,19.38888888888889,7.020833333333333,4.948611111111111,6.644097222222222,0.1644444444444444,5.4750000000000005
20200517,34.7,50.1,108,1.7,1511,32,4.3,456,34,7.7,448,19.1,24.9,1640,14.6,537,15.4,21.2,14.1,80.1,58.0,1631,17.5,3.6,2.6,-9.0,995.3,1005.2,1007.8,500,1002.9,1645,7.1,3.9,14.3,-9.0,15.26,2.67,1300,0.0,0.0,1.0,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.0,15.9,15.0,13.4,13.4,2020-05-17,21.20694444444445,7.048611111111112,5.379166666666666,6.963125000000001,0.1343055555555555,6.572222222222222
20200518,35.8,51.6,108,2.4,2093,29,7.2,1607,29,16.4,1556,19.1,26.8,1429,13.2,2202,15.1,21.6,12.2,79.4,46.0,1436,17.2,4.0,2.8,-9.0,988.4,998.2,1003.8,4,992.0,1446,8.5,3.2,14.3,-9.0,14.07,3.08,1300,29.8,35.6,7.0,19.8,1553,11.5,1603,-9.0,-9,-9.0,-9,-9.0,-9,17.6,15.9,15.0,13.4,13.4,2020-05-18,21.82638888888889,7.008333333333334,4.0375000000000005,8.591597222222221,0.4738888888888888,11.526630434782607
20200519,40.6,58.5,108,3.2,2798,7,7.2,1436,7,12.9,1503,13.0,17.1,1605,10.1,2355,8.0,16.1,6.9,73.6,52.0,1652,10.9,4.1,2.9,-9.0,990.7,1000.8,1008.5,2356,996.9,455,7.6,3.0,14.3,-9.0,15.29,3.56,1200,19.0,13.2,6.42,9.6,949,3.0,1029,-9.0,-9,-9.0,-9,-9.0,-9,18.0,16.1,15.1,13.5,13.4,2020-05-19,19.588686868686867,6.876338383838384,4.672348484848485,7.654184343434344,0.4398842592592593,9.07
20200520,40.6,58.5,108,1.9,1635,9,3.0,2110,5,6.0,1207,14.4,20.1,1427,9.2,213,6.6,17.3,5.5,60.4,46.0,1433,9.8,5.5,3.9,-9.0,1001.7,1011.8,1014.7,2325,1008.5,1,6.0,4.5,14.3,-9.0,20.91,3.42,1000,0.0,-9.0,0.58,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.4,16.4,15.2,13.5,13.4,2020-05-20,19.927314814814817,7.001851851851852,5.696296296296296,5.201689814814816,0.2527777777777777,6.866666666666667
